timed;gen;idx;min;sec
chrom;1;0;00;0.406
chrom;1;1;00;0.558
chrom;1;2;00;0.594
chrom;1;3;00;0.484
chrom;1;4;00;0.516
chrom;1;5;00;0.500
chrom;1;6;00;0.592
chrom;1;7;00;0.625
chrom;1;8;00;0.504
chrom;1;9;00;0.422
chrom;1;10;00;0.472
chrom;1;11;00;0.614
gen;1;;00;6.350
chrom;2;0;00;0.561
chrom;2;1;00;0.531
chrom;2;2;00;0.531
chrom;2;3;00;0.562
chrom;2;4;00;0.547
chrom;2;5;00;0.469
chrom;2;6;00;0.578
chrom;2;7;00;0.578
chrom;2;8;00;0.578
chrom;2;9;00;0.481
chrom;2;10;00;0.497
chrom;2;11;00;0.426
gen;2;;00;6.354
chrom;3;0;00;0.554
chrom;3;1;00;0.562
chrom;3;2;00;0.531
chrom;3;3;00;0.577
chrom;3;4;00;0.457
chrom;3;5;00;0.527
chrom;3;6;00;0.484
chrom;3;7;00;0.469
chrom;3;8;00;0.594
chrom;3;9;00;0.551
chrom;3;10;00;0.491
chrom;3;11;00;0.591
gen;3;;00;6.419
chrom;4;0;00;0.608
chrom;4;1;00;0.581
chrom;4;2;00;0.681
chrom;4;3;00;0.831
chrom;4;4;00;0.641
chrom;4;5;00;0.640
chrom;4;6;00;0.594
chrom;4;7;00;0.513
chrom;4;8;00;0.562
chrom;4;9;00;0.571
chrom;4;10;00;0.524
chrom;4;11;00;0.408
gen;4;;00;7.238
chrom;5;0;00;0.547
chrom;5;1;00;0.575
chrom;5;2;00;0.578
chrom;5;3;00;0.547
chrom;5;4;00;0.578
chrom;5;5;00;0.547
chrom;5;6;00;0.548
chrom;5;7;00;0.587
chrom;5;8;00;0.521
chrom;5;9;00;0.547
chrom;5;10;00;0.564
chrom;5;11;00;0.516
gen;5;;00;6.764
chrom;6;0;00;0.579
chrom;6;1;00;0.500
chrom;6;2;00;0.552
chrom;6;3;00;0.531
chrom;6;4;00;0.453
chrom;6;5;00;0.565
chrom;6;6;00;0.562
chrom;6;7;00;0.535
chrom;6;8;00;0.547
chrom;6;9;00;0.562
chrom;6;10;00;0.531
chrom;6;11;00;0.411
gen;6;;00;6.390
chrom;7;0;00;0.547
chrom;7;1;00;0.564
chrom;7;2;00;0.547
chrom;7;3;00;0.551
chrom;7;4;00;0.565
chrom;7;5;00;0.500
chrom;7;6;00;0.578
chrom;7;7;00;0.515
chrom;7;8;00;0.584
chrom;7;9;00;0.547
chrom;7;10;00;0.563
chrom;7;11;00;0.531
gen;7;;00;6.701
chrom;8;0;00;0.581
chrom;8;1;00;0.484
chrom;8;2;00;0.547
chrom;8;3;00;0.547
chrom;8;4;00;0.562
chrom;8;5;00;0.555
chrom;8;6;00;0.562
chrom;8;7;00;0.547
chrom;8;8;00;0.500
chrom;8;9;00;0.547
chrom;8;10;00;0.562
chrom;8;11;00;0.453
gen;8;;00;6.464
chrom;9;0;00;0.549
chrom;9;1;00;0.523
chrom;9;2;00;0.578
chrom;9;3;00;0.500
chrom;9;4;00;0.531
chrom;9;5;00;0.580
chrom;9;6;00;0.594
chrom;9;7;00;0.469
chrom;9;8;00;0.578
chrom;9;9;00;0.542
chrom;9;10;00;0.516
chrom;9;11;00;0.580
gen;9;;00;6.590
chrom;10;0;00;0.532
chrom;10;1;00;0.484
chrom;10;2;00;0.552
chrom;10;3;00;0.488
chrom;10;4;00;0.562
chrom;10;5;00;0.479
chrom;10;6;00;0.547
chrom;10;7;00;0.535
chrom;10;8;00;0.531
chrom;10;9;00;0.545
chrom;10;10;00;0.469
chrom;10;11;00;0.550
gen;10;;00;6.340
chrom;11;0;00;0.531
chrom;11;1;00;0.516
chrom;11;2;00;0.562
chrom;11;3;00;0.545
chrom;11;4;00;0.533
chrom;11;5;00;0.547
chrom;11;6;00;0.515
chrom;11;7;00;0.562
chrom;11;8;00;0.437
chrom;11;9;00;0.547
chrom;11;10;00;0.515
chrom;11;11;00;0.562
gen;11;;00;6.452
chrom;12;0;00;0.562
chrom;12;1;00;0.531
chrom;12;2;00;0.552
chrom;12;3;00;0.547
chrom;12;4;00;0.563
chrom;12;5;00;0.496
chrom;12;6;00;0.504
chrom;12;7;00;0.531
chrom;12;8;00;0.500
chrom;12;9;00;0.536
chrom;12;10;00;0.500
chrom;12;11;00;0.547
gen;12;;00;6.462
chrom;13;0;00;0.557
chrom;13;1;00;0.500
chrom;13;2;00;0.531
chrom;13;3;00;0.515
chrom;13;4;00;0.391
chrom;13;5;00;0.497
chrom;13;6;00;0.516
chrom;13;7;00;0.514
chrom;13;8;00;0.484
chrom;13;9;00;0.426
chrom;13;10;00;0.531
chrom;13;11;00;0.438
gen;13;;00;6.010
chrom;14;0;00;0.554
chrom;14;1;00;0.531
chrom;14;2;00;0.562
chrom;14;3;00;0.573
chrom;14;4;00;0.505
chrom;14;5;00;0.609
chrom;14;6;00;0.535
chrom;14;7;00;0.437
chrom;14;8;00;0.541
chrom;14;9;00;0.640
chrom;14;10;00;0.553
chrom;14;11;00;1.183
gen;14;;00;7.383
chrom;15;0;00;0.640
chrom;15;1;00;0.545
chrom;15;2;00;0.578
chrom;15;3;00;0.500
chrom;15;4;00;0.465
chrom;15;5;00;0.560
chrom;15;6;00;0.570
chrom;15;7;00;0.548
chrom;15;8;00;0.484
chrom;15;9;00;0.500
chrom;15;10;00;0.547
chrom;15;11;00;0.472
gen;15;;00;6.477
chrom;16;0;00;0.562
chrom;16;1;00;0.500
chrom;16;2;00;0.562
chrom;16;3;00;0.469
chrom;16;4;00;0.547
chrom;16;5;00;0.562
chrom;16;6;00;0.500
chrom;16;7;00;0.559
chrom;16;8;00;0.516
chrom;16;9;00;0.532
chrom;16;10;00;0.500
chrom;16;11;00;0.465
gen;16;;00;6.353
chrom;17;0;00;0.547
chrom;17;1;00;0.516
chrom;17;2;00;0.500
chrom;17;3;00;0.488
chrom;17;4;00;0.500
chrom;17;5;00;0.469
chrom;17;6;00;0.562
chrom;17;7;00;0.531
chrom;17;8;00;0.437
chrom;17;9;00;0.562
chrom;17;10;00;0.518
chrom;17;11;00;0.578
gen;17;;00;6.238
chrom;18;0;00;0.586
chrom;18;1;00;0.531
chrom;18;2;00;0.536
chrom;18;3;00;0.516
chrom;18;4;00;0.578
chrom;18;5;00;0.484
chrom;18;6;00;0.508
chrom;18;7;00;0.531
chrom;18;8;00;0.589
chrom;18;9;00;0.563
chrom;18;10;00;0.547
chrom;18;11;00;0.547
gen;18;;00;6.547
chrom;19;0;00;0.547
chrom;19;1;00;0.562
chrom;19;2;00;0.562
chrom;19;3;00;0.469
chrom;19;4;00;0.562
chrom;19;5;00;0.414
chrom;19;6;00;0.484
chrom;19;7;00;0.594
chrom;19;8;00;0.516
chrom;19;9;00;0.515
chrom;19;10;00;0.524
chrom;19;11;00;0.562
gen;19;;00;6.405
chrom;20;0;00;0.473
chrom;20;1;00;0.521
chrom;20;2;00;0.553
chrom;20;3;00;0.460
chrom;20;4;00;0.562
chrom;20;5;00;0.578
chrom;20;6;00;0.531
chrom;20;7;00;0.511
chrom;20;8;00;0.547
chrom;20;9;00;0.500
chrom;20;10;00;0.441
chrom;20;11;00;0.526
gen;20;;00;6.213
chrom;21;0;00;0.521
chrom;21;1;00;0.531
chrom;21;2;00;0.518
chrom;21;3;00;0.477
chrom;21;4;00;0.500
chrom;21;5;00;0.515
chrom;21;6;00;0.519
chrom;21;7;00;0.453
chrom;21;8;00;0.507
chrom;21;9;00;0.531
chrom;21;10;00;0.578
chrom;21;11;00;0.487
gen;21;;00;6.185
chrom;22;0;00;0.500
chrom;22;1;00;0.556
chrom;22;2;00;0.513
chrom;22;3;00;0.483
chrom;22;4;00;0.542
chrom;22;5;00;0.487
chrom;22;6;00;0.545
chrom;22;7;00;0.434
chrom;22;8;00;0.531
chrom;22;9;00;0.562
chrom;22;10;00;0.422
chrom;22;11;00;0.516
gen;22;;00;6.127
chrom;23;0;00;0.516
chrom;23;1;00;0.562
chrom;23;2;00;0.502
chrom;23;3;00;0.456
chrom;23;4;00;0.549
chrom;23;5;00;0.533
chrom;23;6;00;0.547
chrom;23;7;00;0.516
chrom;23;8;00;0.567
chrom;23;9;00;0.484
chrom;23;10;00;0.434
chrom;23;11;00;0.609
gen;23;;00;6.326
chrom;24;0;00;0.578
chrom;24;1;00;0.544
chrom;24;2;00;0.500
chrom;24;3;00;0.476
chrom;24;4;00;0.563
chrom;24;5;00;0.469
chrom;24;6;00;0.610
chrom;24;7;00;0.516
chrom;24;8;00;0.578
chrom;24;9;00;0.516
chrom;24;10;00;0.567
chrom;24;11;00;0.562
gen;24;;00;6.514
chrom;25;0;00;0.548
chrom;25;1;00;0.501
chrom;25;2;00;0.547
chrom;25;3;00;0.484
chrom;25;4;00;0.500
chrom;25;5;00;0.586
chrom;25;6;00;0.531
chrom;25;7;00;0.580
chrom;25;8;00;0.484
chrom;25;9;00;0.500
chrom;25;10;00;0.531
chrom;25;11;00;0.535
gen;25;;00;6.421
chrom;26;0;00;0.531
chrom;26;1;00;0.562
chrom;26;2;00;0.547
chrom;26;3;00;0.500
chrom;26;4;00;0.573
chrom;26;5;00;0.500
chrom;26;6;00;0.501
chrom;26;7;00;0.479
chrom;26;8;00;0.522
chrom;26;9;00;0.437
chrom;26;10;00;0.469
chrom;26;11;00;0.500
gen;26;;00;6.199
chrom;27;0;00;0.531
chrom;27;1;00;0.453
chrom;27;2;00;0.531
chrom;27;3;00;0.484
chrom;27;4;00;0.567
chrom;27;5;00;0.500
chrom;27;6;00;0.562
chrom;27;7;00;0.531
chrom;27;8;00;0.479
chrom;27;9;00;0.531
chrom;27;10;00;0.455
chrom;27;11;00;0.500
gen;27;;00;6.188
chrom;28;0;00;0.566
chrom;28;1;00;0.516
chrom;28;2;00;0.506
chrom;28;3;00;0.469
chrom;28;4;00;0.516
chrom;28;5;00;0.531
chrom;28;6;00;0.478
chrom;28;7;00;0.516
chrom;28;8;00;0.516
chrom;28;9;00;0.531
chrom;28;10;00;0.510
chrom;28;11;00;0.517
gen;28;;00;6.250
chrom;29;0;00;0.536
chrom;29;1;00;0.562
chrom;29;2;00;0.500
chrom;29;3;00;0.515
chrom;29;4;00;0.437
chrom;29;5;00;0.531
chrom;29;6;00;0.515
chrom;29;7;00;0.522
chrom;29;8;00;0.516
chrom;29;9;00;0.515
chrom;29;10;00;0.531
chrom;29;11;00;0.458
gen;29;;00;6.187
chrom;30;0;00;0.516
chrom;30;1;00;0.469
chrom;30;2;00;0.453
chrom;30;3;00;0.516
chrom;30;4;00;0.484
chrom;30;5;00;0.491
chrom;30;6;00;0.484
chrom;30;7;00;0.391
chrom;30;8;00;0.531
chrom;30;9;00;0.501
chrom;30;10;00;0.455
chrom;30;11;00;0.469
gen;30;;00;5.837
chrom;31;0;00;0.500
chrom;31;1;00;0.552
chrom;31;2;00;0.469
chrom;31;3;00;0.506
chrom;31;4;00;0.469
chrom;31;5;00;0.500
chrom;31;6;00;0.481
chrom;31;7;00;0.484
chrom;31;8;00;0.484
chrom;31;9;00;0.547
chrom;31;10;00;0.484
chrom;31;11;00;0.437
gen;31;;00;5.990
chrom;32;0;00;0.515
chrom;32;1;00;0.503
chrom;32;2;00;0.469
chrom;32;3;00;0.465
chrom;32;4;00;0.469
chrom;32;5;00;0.469
chrom;32;6;00;0.484
chrom;32;7;00;0.406
chrom;32;8;00;0.500
chrom;32;9;00;0.500
chrom;32;10;00;0.535
chrom;32;11;00;0.469
gen;32;;00;5.909
chrom;33;0;00;0.479
chrom;33;1;00;0.471
chrom;33;2;00;0.484
chrom;33;3;00;0.453
chrom;33;4;00;0.484
chrom;33;5;00;0.547
chrom;33;6;00;0.487
chrom;33;7;00;0.500
chrom;33;8;00;0.391
chrom;33;9;00;0.500
chrom;33;10;00;0.453
chrom;33;11;00;0.531
gen;33;;00;5.796
chrom;34;0;00;0.542
chrom;34;1;00;0.469
chrom;34;2;00;0.516
chrom;34;3;00;0.469
chrom;34;4;00;0.442
chrom;34;5;00;0.547
chrom;34;6;00;0.437
chrom;34;7;00;0.484
chrom;34;8;00;0.505
chrom;34;9;00;0.469
chrom;34;10;00;0.512
chrom;34;11;00;0.422
gen;34;;00;5.859
chrom;35;0;00;0.484
chrom;35;1;00;0.516
chrom;35;2;00;0.500
chrom;35;3;00;0.537
chrom;35;4;00;0.469
chrom;35;5;00;0.464
chrom;35;6;00;0.505
chrom;35;7;00;0.391
chrom;35;8;00;0.484
chrom;35;9;00;0.484
chrom;35;10;00;0.496
chrom;35;11;00;0.490
gen;35;;00;5.897
chrom;36;0;00;0.511
chrom;36;1;00;0.469
chrom;36;2;00;0.500
chrom;36;3;00;0.492
chrom;36;4;00;0.551
chrom;36;5;00;0.498
chrom;36;6;00;0.484
chrom;36;7;00;0.512
chrom;36;8;00;0.437
chrom;36;9;00;0.484
chrom;36;10;00;0.437
chrom;36;11;00;0.482
gen;36;;00;5.951
chrom;37;0;00;0.496
chrom;37;1;00;0.484
chrom;37;2;00;0.468
chrom;37;3;00;0.450
chrom;37;4;00;0.422
chrom;37;5;00;0.516
chrom;37;6;00;0.469
chrom;37;7;00;0.484
chrom;37;8;00;0.437
chrom;37;9;00;0.500
chrom;37;10;00;0.437
chrom;37;11;00;0.474
gen;37;;00;5.704
chrom;38;0;00;0.487
chrom;38;1;00;0.434
chrom;38;2;00;0.469
chrom;38;3;00;0.511
chrom;38;4;00;0.484
chrom;38;5;00;0.501
chrom;38;6;00;0.406
chrom;38;7;00;0.422
chrom;38;8;00;0.484
chrom;38;9;00;0.469
chrom;38;10;00;0.453
chrom;38;11;00;0.516
gen;38;;00;5.666
chrom;39;0;00;0.484
chrom;39;1;00;0.448
chrom;39;2;00;0.493
chrom;39;3;00;0.453
chrom;39;4;00;0.516
chrom;39;5;00;0.453
chrom;39;6;00;0.481
chrom;39;7;00;0.416
chrom;39;8;00;0.477
chrom;39;9;00;0.499
chrom;39;10;00;0.406
chrom;39;11;00;0.512
gen;39;;00;5.700
chrom;40;0;00;0.484
chrom;40;1;00;0.489
chrom;40;2;00;0.486
chrom;40;3;00;0.500
chrom;40;4;00;0.516
chrom;40;5;00;0.520
chrom;40;6;00;0.445
chrom;40;7;00;0.484
chrom;40;8;00;0.406
chrom;40;9;00;0.429
chrom;40;10;00;0.453
chrom;40;11;00;0.469
gen;40;;00;5.754
chrom;41;0;00;0.516
chrom;41;1;00;0.484
chrom;41;2;00;0.471
chrom;41;3;00;0.469
chrom;41;4;00;0.500
chrom;41;5;00;0.484
chrom;41;6;00;0.484
chrom;41;7;00;0.440
chrom;41;8;00;0.484
chrom;41;9;00;0.557
chrom;41;10;00;0.437
chrom;41;11;00;0.486
gen;41;;00;5.859
chrom;42;0;00;0.500
chrom;42;1;00;0.486
chrom;42;2;00;0.422
chrom;42;3;00;0.516
chrom;42;4;00;0.476
chrom;42;5;00;0.500
chrom;42;6;00;0.484
chrom;42;7;00;0.484
chrom;42;8;00;0.500
chrom;42;9;00;0.453
chrom;42;10;00;0.531
chrom;42;11;00;0.469
gen;42;;00;5.930
chrom;43;0;00;0.469
chrom;43;1;00;0.475
chrom;43;2;00;0.484
chrom;43;3;00;0.508
chrom;43;4;00;0.498
chrom;43;5;00;0.453
chrom;43;6;00;0.515
chrom;43;7;00;0.489
chrom;43;8;00;0.492
chrom;43;9;00;0.467
chrom;43;10;00;0.484
chrom;43;11;00;0.469
gen;43;;00;5.872
chrom;44;0;00;0.516
chrom;44;1;00;0.520
chrom;44;2;00;0.484
chrom;44;3;00;0.461
chrom;44;4;00;0.503
chrom;44;5;00;0.469
chrom;44;6;00;0.445
chrom;44;7;00;0.516
chrom;44;8;00;0.515
chrom;44;9;00;0.437
chrom;44;10;00;0.516
chrom;44;11;00;0.453
gen;44;;00;5.870
chrom;45;0;00;0.488
chrom;45;1;00;0.481
chrom;45;2;00;0.484
chrom;45;3;00;0.500
chrom;45;4;00;0.469
chrom;45;5;00;0.531
chrom;45;6;00;0.404
chrom;45;7;00;0.540
chrom;45;8;00;0.468
chrom;45;9;00;0.449
chrom;45;10;00;0.606
chrom;45;11;00;0.521
gen;45;;00;6.002
chrom;46;0;00;0.549
chrom;46;1;00;0.491
chrom;46;2;00;0.559
chrom;46;3;00;0.452
chrom;46;4;00;0.470
chrom;46;5;00;0.468
chrom;46;6;00;0.482
chrom;46;7;00;0.402
chrom;46;8;00;0.492
chrom;46;9;00;0.526
chrom;46;10;00;0.524
chrom;46;11;00;0.501
gen;46;;00;5.989
chrom;47;0;00;0.507
chrom;47;1;00;0.546
chrom;47;2;00;0.514
chrom;47;3;00;0.529
chrom;47;4;00;0.520
chrom;47;5;00;0.497
chrom;47;6;00;0.551
chrom;47;7;00;0.500
chrom;47;8;00;0.521
chrom;47;9;00;0.420
chrom;47;10;00;0.486
chrom;47;11;00;0.501
gen;47;;00;6.166
chrom;48;0;00;0.504
chrom;48;1;00;0.482
chrom;48;2;00;0.504
chrom;48;3;00;0.474
chrom;48;4;00;0.476
chrom;48;5;00;0.576
chrom;48;6;00;0.530
chrom;48;7;00;0.543
chrom;48;8;00;0.518
chrom;48;9;00;0.535
chrom;48;10;00;0.517
chrom;48;11;00;0.433
gen;48;;00;6.168
chrom;49;0;00;0.528
chrom;49;1;00;0.491
chrom;49;2;00;0.506
chrom;49;3;00;0.523
chrom;49;4;00;0.520
chrom;49;5;00;0.487
chrom;49;6;00;0.490
chrom;49;7;00;0.494
chrom;49;8;00;0.481
chrom;49;9;00;0.496
chrom;49;10;00;0.489
chrom;49;11;00;0.436
gen;49;;00;6.016
chrom;50;0;00;0.523
chrom;50;1;00;0.491
chrom;50;2;00;0.505
chrom;50;3;00;0.481
chrom;50;4;00;0.490
chrom;50;5;00;0.484
chrom;50;6;00;0.434
chrom;50;7;00;0.478
chrom;50;8;00;0.491
chrom;50;9;00;0.533
chrom;50;10;00;0.506
chrom;50;11;00;0.492
gen;50;;00;5.977
chrom;51;0;00;0.520
chrom;51;1;00;0.506
chrom;51;2;00;0.488
chrom;51;3;00;0.481
chrom;51;4;00;0.533
chrom;51;5;00;0.460
chrom;51;6;00;0.505
chrom;51;7;00;0.520
chrom;51;8;00;0.481
chrom;51;9;00;0.480
chrom;51;10;00;0.485
chrom;51;11;00;0.496
gen;51;;00;6.026
chrom;52;0;00;0.500
chrom;52;1;00;0.502
chrom;52;2;00;0.503
chrom;52;3;00;0.501
chrom;52;4;00;0.421
chrom;52;5;00;0.438
chrom;52;6;00;0.514
chrom;52;7;00;0.513
chrom;52;8;00;0.532
chrom;52;9;00;0.493
chrom;52;10;00;0.529
chrom;52;11;00;0.515
gen;52;;00;6.036
chrom;53;0;00;0.522
chrom;53;1;00;0.476
chrom;53;2;00;0.517
chrom;53;3;00;0.486
chrom;53;4;00;0.478
chrom;53;5;00;0.498
chrom;53;6;00;0.429
chrom;53;7;00;0.485
chrom;53;8;00;0.530
chrom;53;9;00;0.491
chrom;53;10;00;0.507
chrom;53;11;00;0.504
gen;53;;00;5.994
chrom;54;0;00;0.495
chrom;54;1;00;0.473
chrom;54;2;00;0.498
chrom;54;3;00;0.493
chrom;54;4;00;0.488
chrom;54;5;00;0.446
chrom;54;6;00;0.477
chrom;54;7;00;0.509
chrom;54;8;00;0.528
chrom;54;9;00;0.490
chrom;54;10;00;0.510
chrom;54;11;00;0.501
gen;54;;00;5.981
chrom;55;0;00;0.521
chrom;55;1;00;0.496
chrom;55;2;00;0.512
chrom;55;3;00;0.523
chrom;55;4;00;0.502
chrom;55;5;00;0.526
chrom;55;6;00;0.507
chrom;55;7;00;0.480
chrom;55;8;00;0.490
chrom;55;9;00;0.467
chrom;55;10;00;0.546
chrom;55;11;00;0.483
gen;55;;00;6.127
chrom;56;0;00;0.503
chrom;56;1;00;0.496
chrom;56;2;00;0.501
chrom;56;3;00;0.504
chrom;56;4;00;0.484
chrom;56;5;00;0.524
chrom;56;6;00;0.500
chrom;56;7;00;0.469
chrom;56;8;00;0.429
chrom;56;9;00;0.540
chrom;56;10;00;0.518
chrom;56;11;00;0.464
gen;56;;00;6.021
chrom;57;0;00;0.530
chrom;57;1;00;0.490
chrom;57;2;00;0.466
chrom;57;3;00;0.483
chrom;57;4;00;0.514
chrom;57;5;00;0.516
chrom;57;6;00;0.529
chrom;57;7;00;0.456
chrom;57;8;00;0.526
chrom;57;9;00;0.406
chrom;57;10;00;0.526
chrom;57;11;00;0.493
gen;57;;00;6.008
chrom;58;0;00;0.525
chrom;58;1;00;0.452
chrom;58;2;00;0.453
chrom;58;3;00;0.532
chrom;58;4;00;0.520
chrom;58;5;00;0.514
chrom;58;6;00;0.475
chrom;58;7;00;0.472
chrom;58;8;00;0.480
chrom;58;9;00;0.477
chrom;58;10;00;0.513
chrom;58;11;00;0.472
gen;58;;00;5.962
chrom;59;0;00;0.544
chrom;59;1;00;0.577
chrom;59;2;00;0.510
chrom;59;3;00;0.477
chrom;59;4;00;0.526
chrom;59;5;00;0.532
chrom;59;6;00;0.520
chrom;59;7;00;0.562
chrom;59;8;00;0.586
chrom;59;9;00;0.599
chrom;59;10;00;0.545
chrom;59;11;00;0.564
gen;59;;00;6.614
chrom;60;0;00;0.518
chrom;60;1;00;0.535
chrom;60;2;00;0.534
chrom;60;3;00;0.567
chrom;60;4;00;0.536
chrom;60;5;00;0.547
chrom;60;6;00;0.662
chrom;60;7;00;0.674
chrom;60;8;00;0.654
chrom;60;9;00;0.611
chrom;60;10;00;0.510
chrom;60;11;00;0.506
gen;60;;00;6.942
chrom;61;0;00;0.542
chrom;61;1;00;0.516
chrom;61;2;00;0.556
chrom;61;3;00;0.531
chrom;61;4;00;0.499
chrom;61;5;00;0.542
chrom;61;6;00;0.441
chrom;61;7;00;0.519
chrom;61;8;00;0.485
chrom;61;9;00;0.486
chrom;61;10;00;0.435
chrom;61;11;00;0.446
gen;61;;00;6.086
chrom;62;0;00;0.566
chrom;62;1;00;0.641
chrom;62;2;00;0.583
chrom;62;3;00;0.507
chrom;62;4;00;0.511
chrom;62;5;00;0.529
chrom;62;6;00;0.535
chrom;62;7;00;0.523
chrom;62;8;00;0.579
chrom;62;9;00;0.538
chrom;62;10;00;0.504
chrom;62;11;00;0.474
gen;62;;00;6.599
chrom;63;0;00;0.539
chrom;63;1;00;0.537
chrom;63;2;00;0.526
chrom;63;3;00;0.512
chrom;63;4;00;0.653
chrom;63;5;00;0.539
chrom;63;6;00;0.420
chrom;63;7;00;0.427
chrom;63;8;00;0.475
chrom;63;9;00;0.501
chrom;63;10;00;0.508
chrom;63;11;00;0.555
gen;63;;00;6.282
chrom;64;0;00;0.520
chrom;64;1;00;0.491
chrom;64;2;00;0.498
chrom;64;3;00;0.547
chrom;64;4;00;0.420
chrom;64;5;00;0.508
chrom;64;6;00;0.556
chrom;64;7;00;0.493
chrom;64;8;00;0.528
chrom;64;9;00;0.474
chrom;64;10;00;0.428
chrom;64;11;00;0.485
gen;64;;00;6.022
chrom;65;0;00;0.513
chrom;65;1;00;0.491
chrom;65;2;00;0.475
chrom;65;3;00;0.469
chrom;65;4;00;0.474
chrom;65;5;00;0.489
chrom;65;6;00;0.425
chrom;65;7;00;0.450
chrom;65;8;00;0.482
chrom;65;9;00;0.395
chrom;65;10;00;0.513
chrom;65;11;00;0.501
gen;65;;00;5.770
chrom;66;0;00;0.477
chrom;66;1;00;0.496
chrom;66;2;00;0.492
chrom;66;3;00;0.465
chrom;66;4;00;0.472
chrom;66;5;00;0.562
chrom;66;6;00;0.504
chrom;66;7;00;0.469
chrom;66;8;00;0.491
chrom;66;9;00;0.402
chrom;66;10;00;0.506
chrom;66;11;00;0.557
gen;66;;00;5.978
chrom;67;0;00;0.472
chrom;67;1;00;0.504
chrom;67;2;00;0.517
chrom;67;3;00;0.515
chrom;67;4;00;0.493
chrom;67;5;00;0.512
chrom;67;6;00;0.492
chrom;67;7;00;0.508
chrom;67;8;00;0.717
chrom;67;9;00;0.703
chrom;67;10;00;0.594
chrom;67;11;00;0.569
gen;67;;00;6.704
chrom;68;0;00;0.580
chrom;68;1;00;0.593
chrom;68;2;00;0.503
chrom;68;3;00;0.547
chrom;68;4;00;0.491
chrom;68;5;00;0.484
chrom;68;6;00;0.502
chrom;68;7;00;0.540
chrom;68;8;00;0.401
chrom;68;9;00;0.545
chrom;68;10;00;0.499
chrom;68;11;00;0.544
gen;68;;00;6.310
chrom;69;0;00;0.503
chrom;69;1;00;0.449
chrom;69;2;00;0.533
chrom;69;3;00;0.649
chrom;69;4;00;0.579
chrom;69;5;00;0.545
chrom;69;6;00;0.565
chrom;69;7;00;0.553
chrom;69;8;00;0.570
chrom;69;9;00;0.571
chrom;69;10;00;0.576
chrom;69;11;00;0.535
gen;69;;00;6.723
chrom;70;0;00;0.558
chrom;70;1;00;0.490
chrom;70;2;00;0.529
chrom;70;3;00;0.506
chrom;70;4;00;0.523
chrom;70;5;00;0.515
chrom;70;6;00;0.577
chrom;70;7;00;0.577
chrom;70;8;00;0.544
chrom;70;9;00;0.513
chrom;70;10;00;0.563
chrom;70;11;00;0.515
gen;70;;00;6.480
chrom;71;0;00;0.539
chrom;71;1;00;0.529
chrom;71;2;00;0.642
chrom;71;3;00;0.539
chrom;71;4;00;0.746
chrom;71;5;00;0.603
chrom;71;6;00;0.448
chrom;71;7;00;0.517
chrom;71;8;00;0.490
chrom;71;9;00;0.513
chrom;71;10;00;0.647
chrom;71;11;00;0.555
gen;71;;00;6.872
chrom;72;0;00;0.728
chrom;72;1;00;0.547
chrom;72;2;00;0.518
chrom;72;3;00;0.528
chrom;72;4;00;0.564
chrom;72;5;00;0.736
chrom;72;6;00;0.567
chrom;72;7;00;0.549
chrom;72;8;00;0.538
chrom;72;9;00;0.610
chrom;72;10;00;0.504
chrom;72;11;00;0.548
gen;72;;00;7.009
chrom;73;0;00;0.555
chrom;73;1;00;0.472
chrom;73;2;00;0.544
chrom;73;3;00;0.546
chrom;73;4;00;0.513
chrom;73;5;00;0.535
chrom;73;6;00;0.513
chrom;73;7;00;0.569
chrom;73;8;00;0.528
chrom;73;9;00;0.527
chrom;73;10;00;0.448
chrom;73;11;00;0.553
gen;73;;00;6.362
chrom;74;0;00;0.545
chrom;74;1;00;0.478
chrom;74;2;00;0.470
chrom;74;3;00;0.493
chrom;74;4;00;0.522
chrom;74;5;00;0.522
chrom;74;6;00;0.403
chrom;74;7;00;0.522
chrom;74;8;00;0.491
chrom;74;9;00;0.571
chrom;74;10;00;0.497
chrom;74;11;00;0.479
gen;74;;00;6.073
chrom;75;0;00;0.521
chrom;75;1;00;0.543
chrom;75;2;00;0.490
chrom;75;3;00;0.484
chrom;75;4;00;0.500
chrom;75;5;00;0.531
chrom;75;6;00;0.427
chrom;75;7;00;0.516
chrom;75;8;00;0.522
chrom;75;9;00;0.559
chrom;75;10;00;0.536
chrom;75;11;00;0.478
gen;75;;00;6.174
chrom;76;0;00;0.504
chrom;76;1;00;0.569
chrom;76;2;00;0.476
chrom;76;3;00;0.521
chrom;76;4;00;0.540
chrom;76;5;00;0.528
chrom;76;6;00;0.507
chrom;76;7;00;0.555
chrom;76;8;00;0.543
chrom;76;9;00;0.577
chrom;76;10;00;0.515
chrom;76;11;00;0.540
gen;76;;00;6.432
chrom;77;0;00;0.548
chrom;77;1;00;0.493
chrom;77;2;00;0.534
chrom;77;3;00;0.525
chrom;77;4;00;0.561
chrom;77;5;00;0.510
chrom;77;6;00;0.482
chrom;77;7;00;0.542
chrom;77;8;00;0.505
chrom;77;9;00;0.409
chrom;77;10;00;0.502
chrom;77;11;00;0.523
gen;77;;00;6.199
chrom;78;0;00;0.511
chrom;78;1;00;0.471
chrom;78;2;00;0.500
chrom;78;3;00;0.524
chrom;78;4;00;0.525
chrom;78;5;00;0.522
chrom;78;6;00;0.475
chrom;78;7;00;0.434
chrom;78;8;00;0.522
